Ano,Mes,Dia,CANTIDAD MEDUSAS,PRECIPITACION,TEMP MAR,DIRECCION VIENTO,GRADOS VIENTO,HUMEDAD,OLAS,TEMP AIRE,VEL. VIENTO
2023,junio,14,0,2,19,NW,317,85,0.7,18,14
2023,junio,15,0,0,19,N,0,84,0.3,19,10
2023,junio,16,0,0,19,ENE,60,65,0.3,22,19
2023,junio,17,0,1,20,ENE,78,58,0.5,24,18
2023,junio,18,0,38,20,W,270,86,0.3,21,20
2023,junio,19,0,1,20,SSE,167,52,0.5,25,14
2023,junio,20,0,0,20,NW,323,81,0.4,21,14
2023,junio,21,0,0,20,N,3,90,0.5,18,6
2023,junio,22,0,0,20,NW,319,86,0.5,19,15
2023,junio,23,0,0,20,NE,53,71,0.2,21,19
2023,junio,24,0,0,21,ENE,63,49,0.2,26,22
2023,junio,25,0,0,21,WNW,301,87,0.5,20,26
2023,junio,26,0,0,21,NE,34,88,0.3,21,14
2023,junio,27,10,0,21,N,4,84,0.1,21,12
2023,junio,28,10,0,21,N,353,78,0.1,20,9
2023,junio,29,0,1,21,NW,314,82,0.7,19,23
2023,junio,30,0,3,21,NW,313,89,0.7,19,9
2023,julio,1,0,0,21,NW,310,78,1.2,20,17
2023,julio,2,0,0,21,N,6,88,0.5,20,7
2023,julio,3,0,0,21,NNW,331,80,0.4,20,13
2023,julio,4,0,0,22,NNW,343,80,0.4,19,9
2023,julio,5,0,0,22,NNW,333,85,0.2,20,10
2023,julio,6,0,0,22,NE,44,80,0.5,19,17
2023,julio,7,0,0,22,NNE,30,83,0.3,22,15
2023,julio,8,20,0,22,NNW,332,88,0.2,21,11
2023,julio,9,20,0,22,NW,325,90,0.2,20,16
2023,julio,10,20,0,22,NW,326,88,0.2,19,8
2023,julio,11,0,0,22,NW,321,78,0.5,23,14
2023,julio,12,10,0,23,N,351,84,0.2,20,12
2023,julio,13,0,0,23,N,356,85,0.2,21,10
2023,julio,14,0,0,23,NW,324,69,0.2,23,9
2023,julio,15,0,0,23,NW,307,89,0.3,20,22
2023,julio,16,0,0,23,NW,307,89,0.3,20,22
2023,julio,17,16,0,23,NW,311,86,0.5,20,15
2023,julio,18,0,0,23,NNE,17,76,0.6,23,14
2023,julio,19,24,0,23,NW,317,92,0.2,20,13
2023,julio,20,22,0,23,N,0,82,0.2,19,8
2023,julio,21,0,0,23,NW,304,85,0.2,19,18
2023,julio,22,138,0,23,N,356,81,0.1,20,9
2023,julio,23,243,0,23,NW,323,88,0.1,21,11
2023,julio,24,1278,0,23,NW,309,70,0.6,21,21
2023,julio,25,0,0,23,NNW,337,78,1.8,19,8
2023,julio,26,0,0,23,NE,47,76,0.3,21,19
2023,julio,27,0,0,23,NW,306,79,0.3,21,20
2023,julio,28,0,0,23,NW,312,77,0.3,22,15
2023,julio,29,10,0,23,N,351,86,0.5,20,16
2023,julio,30,115,0,23,NW,312,82,0.2,20,16
2023,julio,31,0,0,23,N,0,86,0.2,20,11
2023,agosto,1,109,0,23,NNW,332,86,0.5,20,9
2023,agosto,2,5,3,23,W,278,90,0.6,21,28
2023,agosto,3,0,7,23,WNW,286,83,2,18,33
2023,agosto,4,11,0,23,NW,322,63,1,19,23
2023,agosto,5,0,0,23,WNW,287,76,0.4,20,35
2023,agosto,6,306,0,23,NW,304,70,0.5,19,18
2023,agosto,7,15,0,23,ENE,76,56,0.5,21,20
2023,agosto,8,14,0,23,ESE,111,44,0.4,29,11
2023,agosto,9,20,1,23,S,178,44,0.9,30,13
2023,agosto,10,120,0,23,NNW,327,95,0.5,21,15
2023,agosto,11,0,0,23,NNW,327,95,0.4,21,15
2023,agosto,12,0,0,23,NW,319,77,0.6,20,14
2023,agosto,13,0,0,23,NW,319,77,0.4,20,14
2023,agosto,14,10,0,23,NW,319,77,0.3,20,14
2023,agosto,15,0,0,23,NE,34,88,0.3,21,14
2023,agosto,16,102,0,23,NNE,33,79,0.3,23,14
2023,agosto,17,16,0,23,ENE,76,54,0.3,27,14
2023,agosto,18,18,0,23,NNE,12,70,0.2,24,9
